nombre,poblacion,superficie,continente
Trinidad and Tobago,1399491,5130,North America
Pakistan,220892331,881912,Asia
Cape Verde,555988,4033,Africa
Israel,9216900,20770,Asia
Spain,47351567,505992,Europe
Niger,24206636,1267000,Africa
Nauru,10834,21,Oceania
Uganda,45741000,241550,Africa
Mexico,128932753,1964375,North America
Estonia,1331057,45227,Europe
Costa Rica,5094114,51100,North America
Greece,10715549,131990,Europe
Lesotho,2142252,30355,Africa
Slovakia,5458827,49037,Europe
Libya,6871287,1759540,Africa
Cuba,11326616,109884,North America
Latvia,1901548,64559,Europe
Laos,7275556,236800,Asia
Lithuania,2794700,65300,Europe
Malta,525285,316,Europe
